student_id,course_id
D055467728,1304
D055457699,1304
D0554544,1304
D055422963,1304
D0553956,1304
D0553872,1304
D0553840,1304
D055373296,1304
D0553570,1304
D0553533,1304
D055341813,1304
D0553061,1304
D0553019,1304
D0553013,1304
D0552826,1304
D055254304,1304
D055209168,1304
D055208659,1304
D055187916,1304
D0551693,1304
D055116725,1304
D055115094,1304
D0550541,1304
D055021869,1304
D0549936,1304
D0549748,1304
D0549270,1304
D054926738,1304
D0548766,1304
D0548420,1304
D054832329,1304
D0548218,1304
D0547943,1304
D054783805,1304
D0547670,1304
D0547390,1304
D054699472,1304
D0546969,1304
D054691438,1304
D0546882,1304
D0546623,1304
D054632585,1304
D054615076,1304
D0545882,1304
D0545873,1304
D0545854,1304
D054574083,1304
D054556096,1304
D054552777,1304
D054545335,1304
D054452527,1304
D054437098,1304
D0543078,1304
D0543006,1304
D054299818,1304
D0542891,1304
D054273474,1304
D0542719,1304
D054220874,1304
D054217911,1304
D0542105,1304
D054181328,1304
D0541786,1304
D0541763,1304
D054150140,1304
D054108189,1304
D054069602,1304
D0540628,1304
D0540148,1304
D053994981,1304
D0539717,1304
D053927385,1304
D0539271,1304
D0539247,1304
D053917928,1304
D053898753,1304
D0538980,1304
D0538909,1304
D0538771,1304
D053852830,1304
D0538297,1304
D053788023,1304
D053738820,1304
D0537249,1304
D053705402,1304
D053687036,1304
D053658654,1304
D0536581,1304
D053558671,1304
D0535570,1304
D0535466,1304
D053536273,1304
D0535097,1304
D053485984,1304
D0534771,1304
D053404282,1304
D0533955,1304
D053374493,1304
D0533545,1304
D0532909,1304
