student_id,course_id
D0783666,1347
D0783638,1347
D0782990,1347
D0782110,1347
D0780860,1347
D0780761,1347
D0780714,1347
D0780407,1347
D0780320,1347
D0780096,1347
D0779896,1347
D0779809,1347
D0779535,1347
D0779534,1347
D0779227,1347
D0778971,1347
D0778945,1347
D0778836,1347
D0778743,1347
D0778191,1347
D0777804,1347
D0777164,1347
D0776500,1347
D0776481,1347
D0776441,1347
D0774638,1347
D0774003,1347
D0773987,1347
D0773516,1347
D0773302,1347
D0773236,1347
D0772569,1347
D0771295,1347
D0771159,1347
D0770805,1347
D0770736,1347
D0770087,1347
D0769542,1347
D0769305,1347
D0768833,1347
D0768750,1347
D0768561,1347
D0768158,1347
D0768149,1347
D0766804,1347
D0766754,1347
D0766711,1347
D0766691,1347
D0766652,1347
D0766632,1347
D0764798,1347
D0763550,1347
D0762442,1347
D0762366,1347
D0760537,1347
D0760326,1347
D0760294,1347
D0760116,1347
D0759625,1347
D0759560,1347
D0759367,1347
D0759172,1347
D0757784,1347
D0757015,1347
D0756422,1347
D0756123,1347
D0755919,1347
D0755621,1347
D0754633,1347
D0754463,1347
D0753850,1347
D0753059,1347
D0752683,1347
D0752532,1347
D0752200,1347
D0751679,1347
D0750837,1347
D0749858,1347
D0749514,1347
D0748603,1347
D0747999,1347
D0747367,1347
D0747350,1347
D0745529,1347
D0745484,1347
D0745314,1347
D0744548,1347
D0744476,1347
D0744383,1347
D0744123,1347
D0743947,1347
D0743876,1347
D0742924,1347
D0742584,1347
D0742126,1347
D0741260,1347
D0741231,1347
D0740719,1347
D0740613,1347
D0738985,1347
